,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,W240C,W220P,W260C,W000P,M240C,M220P,M260C,M200P,WS200,WS400,MS200,MS400
839,HK.999010,2022-01-04 17:20:00,23311.0,23320.0,23322.0,23303.0,236,5501763.0,0.0,0.0,23296.0,104.0,104.0,47.0,47.0,347.0,355.0,265.0,278.0,208.0,94.0,702.0,543.0
840,HK.999010,2022-01-04 17:25:00,23320.0,23314.0,23323.0,23313.0,103,2401755.0,0.0,0.0,23320.0,104.0,98.0,47.0,47.0,358.0,346.0,265.0,272.0,202.0,94.0,704.0,537.0
841,HK.999010,2022-01-04 17:30:00,23315.0,23314.0,23318.0,23312.0,49,1142441.0,0.0,0.0,23314.0,104.0,98.0,47.0,47.0,358.0,346.0,268.0,272.0,202.0,94.0,704.0,540.0
842,HK.999010,2022-01-04 17:35:00,23314.0,23321.0,23322.0,23312.0,70,1632247.0,0.0,0.0,23314.0,110.0,98.0,47.0,48.0,358.0,346.0,268.0,272.0,208.0,95.0,704.0,540.0
843,HK.999010,2022-01-04 17:40:00,23319.0,23317.0,23323.0,23315.0,42,979357.0,0.0,0.0,23321.0,111.0,98.0,47.0,48.0,359.0,346.0,268.0,272.0,209.0,95.0,705.0,540.0
844,HK.999010,2022-01-04 17:45:00,23318.0,23322.0,23323.0,23317.0,38,886160.0,0.0,0.0,23317.0,111.0,98.0,49.0,46.0,359.0,346.0,268.0,272.0,209.0,95.0,705.0,540.0
845,HK.999010,2022-01-04 17:50:00,23320.0,23328.0,23329.0,23319.0,84,1959329.0,0.0,0.0,23322.0,115.0,98.0,49.0,46.0,360.0,346.0,268.0,272.0,213.0,95.0,706.0,540.0
846,HK.999010,2022-01-04 17:55:00,23329.0,23335.0,23337.0,23329.0,124,2893461.0,0.0,0.0,23328.0,115.0,98.0,52.0,45.0,365.0,346.0,268.0,272.0,213.0,97.0,711.0,540.0
847,HK.999010,2022-01-04 18:00:00,23334.0,23340.0,23342.0,23332.0,142,3314033.0,0.0,0.0,23335.0,117.0,91.0,52.0,44.0,365.0,346.0,268.0,272.0,208.0,96.0,711.0,540.0
848,HK.999010,2022-01-04 18:05:00,23340.0,23328.0,23342.0,23328.0,126,2940467.0,0.0,0.0,23340.0,117.0,91.0,50.0,44.0,365.0,346.0,274.0,272.0,208.0,94.0,711.0,546.0
849,HK.999010,2022-01-04 18:10:00,23328.0,23331.0,23335.0,23323.0,122,2846246.0,0.0,0.0,23328.0,117.0,91.0,50.0,44.0,365.0,346.0,276.0,272.0,208.0,94.0,711.0,548.0
850,HK.999010,2022-01-04 18:15:00,23331.0,23335.0,23338.0,23329.0,74,1726643.0,0.0,0.0,23331.0,117.0,91.0,50.0,44.0,365.0,346.0,276.0,272.0,208.0,94.0,711.0,548.0
851,HK.999010,2022-01-04 18:20:00,23334.0,23332.0,23335.0,23329.0,90,2099886.0,0.0,0.0,23335.0,117.0,92.0,51.0,44.0,365.0,346.0,276.0,272.0,209.0,95.0,711.0,548.0
852,HK.999010,2022-01-04 18:25:00,23334.0,23334.0,23335.0,23328.0,142,3313090.0,0.0,0.0,23332.0,116.0,94.0,51.0,45.0,365.0,346.0,276.0,272.0,210.0,96.0,711.0,548.0
853,HK.999010,2022-01-04 18:30:00,23335.0,23342.0,23342.0,23332.0,136,3173773.0,0.0,0.0,23334.0,118.0,94.0,51.0,44.0,365.0,346.0,276.0,272.0,212.0,95.0,711.0,548.0
854,HK.999010,2022-01-04 18:35:00,23343.0,23344.0,23347.0,23340.0,100,2334350.0,0.0,0.0,23342.0,118.0,88.0,51.0,43.0,370.0,346.0,276.0,272.0,206.0,94.0,716.0,548.0
855,HK.999010,2022-01-04 18:40:00,23344.0,23351.0,23351.0,23340.0,88,2054437.0,0.0,0.0,23344.0,120.0,91.0,56.0,43.0,370.0,346.0,276.0,272.0,211.0,99.0,716.0,548.0
856,HK.999010,2022-01-04 18:45:00,23350.0,23356.0,23357.0,23346.0,126,2942156.0,0.0,0.0,23351.0,123.0,87.0,56.0,43.0,376.0,346.0,276.0,272.0,210.0,99.0,722.0,548.0
857,HK.999010,2022-01-04 18:50:00,23356.0,23344.0,23361.0,23344.0,110,2569056.0,0.0,0.0,23356.0,128.0,87.0,52.0,41.0,374.0,346.0,276.0,258.0,215.0,93.0,720.0,534.0
858,HK.999010,2022-01-04 18:55:00,23345.0,23340.0,23345.0,23336.0,79,1843904.0,0.0,0.0,23344.0,128.0,91.0,50.0,45.0,367.0,346.0,276.0,258.0,219.0,95.0,713.0,534.0
859,HK.999010,2022-01-04 19:00:00,23338.0,23341.0,23343.0,23335.0,55,1283649.0,0.0,0.0,23340.0,128.0,91.0,52.0,46.0,367.0,346.0,276.0,258.0,219.0,98.0,713.0,534.0
860,HK.999010,2022-01-04 19:05:00,23339.0,23340.0,23348.0,23336.0,125,2917896.0,0.0,0.0,23341.0,118.0,91.0,52.0,46.0,367.0,346.0,276.0,258.0,209.0,98.0,713.0,534.0
861,HK.999010,2022-01-04 19:10:00,23340.0,23336.0,23341.0,23334.0,156,3640653.0,0.0,0.0,23340.0,118.0,91.0,52.0,46.0,367.0,346.0,276.0,258.0,209.0,98.0,713.0,534.0
862,HK.999010,2022-01-04 19:15:00,23335.0,23337.0,23340.0,23333.0,75,1750205.0,0.0,0.0,23336.0,115.0,91.0,52.0,46.0,367.0,346.0,276.0,258.0,206.0,98.0,713.0,534.0
863,HK.999010,2022-01-04 19:20:00,23337.0,23337.0,23338.0,23333.0,114,2660202.0,0.0,0.0,23337.0,115.0,91.0,52.0,46.0,367.0,346.0,276.0,258.0,206.0,98.0,713.0,534.0
864,HK.999010,2022-01-04 19:25:00,23337.0,23336.0,23340.0,23334.0,66,1540205.0,0.0,0.0,23337.0,115.0,91.0,52.0,46.0,367.0,346.0,276.0,258.0,206.0,98.0,713.0,534.0
865,HK.999010,2022-01-04 19:30:00,23334.0,23318.0,23335.0,23318.0,147,3428877.0,0.0,0.0,23336.0,115.0,98.0,52.0,48.0,367.0,346.0,276.0,258.0,213.0,100.0,713.0,534.0
866,HK.999010,2022-01-04 19:35:00,23317.0,23319.0,23327.0,23316.0,85,1982268.0,0.0,0.0,23318.0,115.0,98.0,52.0,47.0,358.0,346.0,276.0,258.0,213.0,99.0,704.0,534.0
867,HK.999010,2022-01-04 19:40:00,23318.0,23325.0,23326.0,23316.0,68,1585833.0,0.0,0.0,23319.0,115.0,98.0,47.0,47.0,358.0,346.0,276.0,258.0,213.0,94.0,704.0,534.0
