,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close
839,HK.HSI220107C23600,2022-01-04 17:20:00,47.0,47.0,47.0,47.0,1,2350.0,0.0,0.0,44.0
840,HK.HSI220107C23600,2022-01-04 17:25:00,47.0,47.0,47.0,47.0,1,2350.0,0.0,0.0,47.0
841,HK.HSI220107C23600,2022-01-04 17:30:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
842,HK.HSI220107C23600,2022-01-04 17:35:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
843,HK.HSI220107C23600,2022-01-04 17:40:00,47.0,47.0,47.0,47.0,1,2350.0,0.0,0.0,47.0
844,HK.HSI220107C23600,2022-01-04 17:45:00,49.0,49.0,49.0,49.0,1,2450.0,0.0,0.0,47.0
845,HK.HSI220107C23600,2022-01-04 17:50:00,49.0,49.0,49.0,49.0,0,0.0,0.0,0.0,49.0
846,HK.HSI220107C23600,2022-01-04 17:55:00,52.0,52.0,52.0,52.0,1,2600.0,0.0,0.0,49.0
847,HK.HSI220107C23600,2022-01-04 18:00:00,52.0,52.0,52.0,52.0,1,2600.0,0.0,0.0,52.0
848,HK.HSI220107C23600,2022-01-04 18:05:00,52.0,50.0,52.0,50.0,3,7600.0,0.0,0.0,52.0
849,HK.HSI220107C23600,2022-01-04 18:10:00,50.0,50.0,50.0,50.0,1,2500.0,0.0,0.0,50.0
850,HK.HSI220107C23600,2022-01-04 18:15:00,50.0,50.0,50.0,50.0,0,0.0,0.0,0.0,50.0
851,HK.HSI220107C23600,2022-01-04 18:20:00,53.0,51.0,53.0,51.0,2,5200.0,0.0,0.0,50.0
852,HK.HSI220107C23600,2022-01-04 18:25:00,51.0,51.0,51.0,51.0,0,0.0,0.0,0.0,51.0
853,HK.HSI220107C23600,2022-01-04 18:30:00,51.0,51.0,51.0,51.0,0,0.0,0.0,0.0,51.0
854,HK.HSI220107C23600,2022-01-04 18:35:00,51.0,51.0,51.0,51.0,0,0.0,0.0,0.0,51.0
855,HK.HSI220107C23600,2022-01-04 18:40:00,53.0,56.0,56.0,53.0,2,5450.0,0.0,0.0,51.0
856,HK.HSI220107C23600,2022-01-04 18:45:00,56.0,56.0,56.0,56.0,0,0.0,0.0,0.0,56.0
857,HK.HSI220107C23600,2022-01-04 18:50:00,57.0,52.0,57.0,52.0,7,18650.0,0.0,0.0,56.0
858,HK.HSI220107C23600,2022-01-04 18:55:00,50.0,50.0,50.0,50.0,1,2500.0,0.0,0.0,52.0
859,HK.HSI220107C23600,2022-01-04 19:00:00,52.0,52.0,52.0,52.0,1,2600.0,0.0,0.0,50.0
860,HK.HSI220107C23600,2022-01-04 19:05:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
861,HK.HSI220107C23600,2022-01-04 19:10:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
862,HK.HSI220107C23600,2022-01-04 19:15:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
863,HK.HSI220107C23600,2022-01-04 19:20:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
864,HK.HSI220107C23600,2022-01-04 19:25:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
865,HK.HSI220107C23600,2022-01-04 19:30:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
866,HK.HSI220107C23600,2022-01-04 19:35:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
867,HK.HSI220107C23600,2022-01-04 19:40:00,47.0,47.0,47.0,47.0,2,4700.0,0.0,0.0,52.0
868,HK.HSI220107C23600,2022-01-04 19:45:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
869,HK.HSI220107C23600,2022-01-04 19:50:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
870,HK.HSI220107C23600,2022-01-04 19:55:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
871,HK.HSI220107C23600,2022-01-04 20:00:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
872,HK.HSI220107C23600,2022-01-04 20:05:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
873,HK.HSI220107C23600,2022-01-04 20:10:00,47.0,47.0,47.0,47.0,0,0.0,0.0,0.0,47.0
874,HK.HSI220107C23600,2022-01-04 20:15:00,51.0,51.0,51.0,51.0,2,5100.0,0.0,0.0,47.0
875,HK.HSI220107C23600,2022-01-04 20:20:00,51.0,51.0,51.0,51.0,1,2550.0,0.0,0.0,51.0
876,HK.HSI220107C23600,2022-01-04 20:25:00,51.0,51.0,51.0,51.0,0,0.0,0.0,0.0,51.0
877,HK.HSI220107C23600,2022-01-04 20:30:00,49.0,46.0,49.0,46.0,2,4750.0,0.0,0.0,51.0
878,HK.HSI220107C23600,2022-01-04 20:35:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
879,HK.HSI220107C23600,2022-01-04 20:40:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
880,HK.HSI220107C23600,2022-01-04 20:45:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
881,HK.HSI220107C23600,2022-01-04 20:50:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
882,HK.HSI220107C23600,2022-01-04 20:55:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
883,HK.HSI220107C23600,2022-01-04 21:00:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
884,HK.HSI220107C23600,2022-01-04 21:05:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
885,HK.HSI220107C23600,2022-01-04 21:10:00,46.0,46.0,46.0,46.0,0,0.0,0.0,0.0,46.0
886,HK.HSI220107C23600,2022-01-04 21:15:00,54.0,54.0,54.0,54.0,2,5400.0,0.0,0.0,46.0
887,HK.HSI220107C23600,2022-01-04 21:20:00,54.0,54.0,54.0,54.0,0,0.0,0.0,0.0,54.0
888,HK.HSI220107C23600,2022-01-04 21:25:00,56.0,56.0,56.0,56.0,1,2800.0,0.0,0.0,54.0
889,HK.HSI220107C23600,2022-01-04 21:30:00,56.0,56.0,56.0,56.0,0,0.0,0.0,0.0,56.0
890,HK.HSI220107C23600,2022-01-04 21:35:00,54.0,54.0,54.0,54.0,1,2700.0,0.0,0.0,56.0
891,HK.HSI220107C23600,2022-01-04 21:40:00,53.0,53.0,53.0,53.0,1,2650.0,0.0,0.0,54.0
892,HK.HSI220107C23600,2022-01-04 21:45:00,54.0,54.0,54.0,54.0,1,2700.0,0.0,0.0,53.0
893,HK.HSI220107C23600,2022-01-04 21:50:00,55.0,58.0,58.0,55.0,2,5650.0,0.0,0.0,54.0
894,HK.HSI220107C23600,2022-01-04 21:55:00,58.0,58.0,58.0,58.0,0,0.0,0.0,0.0,58.0
895,HK.HSI220107C23600,2022-01-04 22:00:00,56.0,56.0,56.0,56.0,1,2800.0,0.0,0.0,58.0
896,HK.HSI220107C23600,2022-01-04 22:05:00,56.0,56.0,56.0,56.0,0,0.0,0.0,0.0,56.0
897,HK.HSI220107C23600,2022-01-04 22:10:00,56.0,56.0,56.0,56.0,0,0.0,0.0,0.0,56.0
898,HK.HSI220107C23600,2022-01-04 22:15:00,59.0,59.0,59.0,59.0,1,2950.0,0.0,0.0,56.0
899,HK.HSI220107C23600,2022-01-04 22:20:00,59.0,59.0,59.0,59.0,0,0.0,0.0,0.0,59.0
900,HK.HSI220107C23600,2022-01-04 22:25:00,57.0,59.0,59.0,57.0,2,5800.0,0.0,0.0,59.0
901,HK.HSI220107C23600,2022-01-04 22:30:00,59.0,59.0,59.0,59.0,0,0.0,0.0,0.0,59.0
902,HK.HSI220107C23600,2022-01-04 22:35:00,49.0,51.0,55.0,46.0,7,17550.0,0.0,0.0,59.0
903,HK.HSI220107C23600,2022-01-04 22:40:00,48.0,55.0,58.0,48.0,5,13750.0,0.0,0.0,51.0
904,HK.HSI220107C23600,2022-01-04 22:45:00,56.0,55.0,61.0,55.0,7,20400.0,0.0,0.0,55.0
905,HK.HSI220107C23600,2022-01-04 22:50:00,59.0,59.0,59.0,59.0,1,2950.0,0.0,0.0,55.0
906,HK.HSI220107C23600,2022-01-04 22:55:00,59.0,59.0,59.0,59.0,0,0.0,0.0,0.0,59.0
907,HK.HSI220107C23600,2022-01-04 23:00:00,59.0,59.0,59.0,59.0,0,0.0,0.0,0.0,59.0
908,HK.HSI220107C23600,2022-01-04 23:05:00,52.0,52.0,52.0,52.0,1,2600.0,0.0,0.0,59.0
909,HK.HSI220107C23600,2022-01-04 23:10:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
910,HK.HSI220107C23600,2022-01-04 23:15:00,52.0,52.0,52.0,52.0,0,0.0,0.0,0.0,52.0
911,HK.HSI220107C23600,2022-01-04 23:20:00,42.0,40.0,42.0,40.0,3,6150.0,0.0,0.0,52.0
912,HK.HSI220107C23600,2022-01-04 23:25:00,43.0,46.0,46.0,43.0,2,4450.0,0.0,0.0,40.0
913,HK.HSI220107C23600,2022-01-04 23:30:00,51.0,48.0,51.0,48.0,10,24750.0,0.0,0.0,46.0
914,HK.HSI220107C23600,2022-01-04 23:35:00,43.0,43.0,43.0,43.0,2,4300.0,0.0,0.0,48.0
915,HK.HSI220107C23600,2022-01-04 23:40:00,41.0,41.0,41.0,41.0,1,2050.0,0.0,0.0,43.0
916,HK.HSI220107C23600,2022-01-04 23:45:00,39.0,40.0,40.0,38.0,3,5850.0,0.0,0.0,41.0
917,HK.HSI220107C23600,2022-01-04 23:50:00,36.0,36.0,36.0,36.0,1,1800.0,0.0,0.0,40.0
918,HK.HSI220107C23600,2022-01-04 23:55:00,45.0,40.0,45.0,40.0,3,6350.0,0.0,0.0,36.0
919,HK.HSI220107C23600,2022-01-05 00:00:00,40.0,40.0,40.0,40.0,2,4000.0,0.0,0.0,40.0
920,HK.HSI220107C23600,2022-01-05 00:05:00,38.0,32.0,38.0,32.0,5,8650.0,0.0,0.0,40.0
921,HK.HSI220107C23600,2022-01-05 00:10:00,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,32.0
922,HK.HSI220107C23600,2022-01-05 00:15:00,36.0,36.0,36.0,36.0,2,3600.0,0.0,0.0,32.0
923,HK.HSI220107C23600,2022-01-05 00:20:00,35.0,37.0,37.0,35.0,2,3600.0,0.0,0.0,36.0
924,HK.HSI220107C23600,2022-01-05 00:25:00,40.0,35.0,40.0,35.0,4,7700.0,0.0,0.0,37.0
925,HK.HSI220107C23600,2022-01-05 00:30:00,34.0,34.0,34.0,34.0,1,1700.0,0.0,0.0,35.0
926,HK.HSI220107C23600,2022-01-05 00:35:00,34.0,34.0,34.0,34.0,0,0.0,0.0,0.0,34.0
927,HK.HSI220107C23600,2022-01-05 00:40:00,40.0,40.0,40.0,40.0,1,2000.0,0.0,0.0,34.0
928,HK.HSI220107C23600,2022-01-05 00:45:00,40.0,40.0,40.0,40.0,0,0.0,0.0,0.0,40.0
929,HK.HSI220107C23600,2022-01-05 00:50:00,40.0,40.0,40.0,40.0,2,4000.0,0.0,0.0,40.0
930,HK.HSI220107C23600,2022-01-05 00:55:00,40.0,40.0,40.0,40.0,0,0.0,0.0,0.0,40.0
931,HK.HSI220107C23600,2022-01-05 01:00:00,40.0,40.0,40.0,40.0,0,0.0,0.0,0.0,40.0
932,HK.HSI220107C23600,2022-01-05 01:05:00,40.0,40.0,40.0,40.0,0,0.0,0.0,0.0,40.0
933,HK.HSI220107C23600,2022-01-05 01:10:00,36.0,36.0,36.0,36.0,1,1800.0,0.0,0.0,40.0
934,HK.HSI220107C23600,2022-01-05 01:15:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
935,HK.HSI220107C23600,2022-01-05 01:20:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
936,HK.HSI220107C23600,2022-01-05 01:25:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
937,HK.HSI220107C23600,2022-01-05 01:30:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
938,HK.HSI220107C23600,2022-01-05 01:35:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
939,HK.HSI220107C23600,2022-01-05 01:40:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
940,HK.HSI220107C23600,2022-01-05 01:45:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
941,HK.HSI220107C23600,2022-01-05 01:50:00,36.0,36.0,36.0,36.0,0,0.0,0.0,0.0,36.0
942,HK.HSI220107C23600,2022-01-05 01:55:00,39.0,39.0,39.0,39.0,2,3900.0,0.0,0.0,36.0
943,HK.HSI220107C23600,2022-01-05 02:00:00,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,39.0
944,HK.HSI220107C23600,2022-01-05 02:05:00,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,39.0
945,HK.HSI220107C23600,2022-01-05 02:10:00,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,39.0
946,HK.HSI220107C23600,2022-01-05 02:15:00,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,39.0
947,HK.HSI220107C23600,2022-01-05 02:20:00,39.0,39.0,39.0,39.0,0,0.0,0.0,0.0,39.0
948,HK.HSI220107C23600,2022-01-05 02:25:00,33.0,33.0,33.0,33.0,1,1650.0,0.0,0.0,39.0
949,HK.HSI220107C23600,2022-01-05 02:30:00,33.0,33.0,33.0,33.0,0,0.0,0.0,0.0,33.0
950,HK.HSI220107C23600,2022-01-05 02:35:00,33.0,33.0,33.0,33.0,0,0.0,0.0,0.0,33.0
951,HK.HSI220107C23600,2022-01-05 02:40:00,33.0,33.0,33.0,33.0,0,0.0,0.0,0.0,33.0
952,HK.HSI220107C23600,2022-01-05 02:45:00,33.0,33.0,33.0,33.0,0,0.0,0.0,0.0,33.0
953,HK.HSI220107C23600,2022-01-05 02:50:00,33.0,33.0,33.0,33.0,0,0.0,0.0,0.0,33.0
954,HK.HSI220107C23600,2022-01-05 02:55:00,33.0,33.0,33.0,33.0,0,0.0,0.0,0.0,33.0
955,HK.HSI220107C23600,2022-01-05 03:00:00,33.0,33.0,33.0,33.0,0,0.0,0.0,0.0,33.0
