,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close
839,HK.HSI220107P23200,2022-01-04 17:20:00,104.0,104.0,104.0,104.0,0,0.0,0.0,0.0,104.0
840,HK.HSI220107P23200,2022-01-04 17:25:00,98.0,98.0,98.0,98.0,1,4900.0,0.0,0.0,104.0
841,HK.HSI220107P23200,2022-01-04 17:30:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
842,HK.HSI220107P23200,2022-01-04 17:35:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
843,HK.HSI220107P23200,2022-01-04 17:40:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
844,HK.HSI220107P23200,2022-01-04 17:45:00,98.0,98.0,98.0,98.0,1,4900.0,0.0,0.0,98.0
845,HK.HSI220107P23200,2022-01-04 17:50:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
846,HK.HSI220107P23200,2022-01-04 17:55:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
847,HK.HSI220107P23200,2022-01-04 18:00:00,91.0,91.0,91.0,91.0,1,4550.0,0.0,0.0,98.0
848,HK.HSI220107P23200,2022-01-04 18:05:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
849,HK.HSI220107P23200,2022-01-04 18:10:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
850,HK.HSI220107P23200,2022-01-04 18:15:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
851,HK.HSI220107P23200,2022-01-04 18:20:00,92.0,92.0,92.0,92.0,1,4600.0,0.0,0.0,91.0
852,HK.HSI220107P23200,2022-01-04 18:25:00,94.0,94.0,94.0,94.0,1,4700.0,0.0,0.0,92.0
853,HK.HSI220107P23200,2022-01-04 18:30:00,94.0,94.0,94.0,94.0,0,0.0,0.0,0.0,94.0
854,HK.HSI220107P23200,2022-01-04 18:35:00,88.0,88.0,88.0,88.0,1,4400.0,0.0,0.0,94.0
855,HK.HSI220107P23200,2022-01-04 18:40:00,90.0,91.0,91.0,90.0,2,9050.0,0.0,0.0,88.0
856,HK.HSI220107P23200,2022-01-04 18:45:00,87.0,87.0,87.0,87.0,1,4350.0,0.0,0.0,91.0
857,HK.HSI220107P23200,2022-01-04 18:50:00,87.0,87.0,87.0,87.0,0,0.0,0.0,0.0,87.0
858,HK.HSI220107P23200,2022-01-04 18:55:00,91.0,91.0,91.0,91.0,1,4550.0,0.0,0.0,87.0
859,HK.HSI220107P23200,2022-01-04 19:00:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
860,HK.HSI220107P23200,2022-01-04 19:05:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
861,HK.HSI220107P23200,2022-01-04 19:10:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
862,HK.HSI220107P23200,2022-01-04 19:15:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
863,HK.HSI220107P23200,2022-01-04 19:20:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
864,HK.HSI220107P23200,2022-01-04 19:25:00,91.0,91.0,91.0,91.0,0,0.0,0.0,0.0,91.0
865,HK.HSI220107P23200,2022-01-04 19:30:00,98.0,98.0,98.0,98.0,1,4900.0,0.0,0.0,91.0
866,HK.HSI220107P23200,2022-01-04 19:35:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
867,HK.HSI220107P23200,2022-01-04 19:40:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
868,HK.HSI220107P23200,2022-01-04 19:45:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
869,HK.HSI220107P23200,2022-01-04 19:50:00,98.0,98.0,98.0,98.0,0,0.0,0.0,0.0,98.0
870,HK.HSI220107P23200,2022-01-04 19:55:00,87.0,82.0,87.0,82.0,3,12700.0,0.0,0.0,98.0
871,HK.HSI220107P23200,2022-01-04 20:00:00,82.0,82.0,82.0,82.0,0,0.0,0.0,0.0,82.0
