,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close
839,HK.HSI220107C23400,2022-01-04 17:20:00,104.0,104.0,104.0,104.0,0,0.0,0.0,0.0,104.0
840,HK.HSI220107C23400,2022-01-04 17:25:00,104.0,104.0,104.0,104.0,0,0.0,0.0,0.0,104.0
841,HK.HSI220107C23400,2022-01-04 17:30:00,104.0,104.0,104.0,104.0,0,0.0,0.0,0.0,104.0
842,HK.HSI220107C23400,2022-01-04 17:35:00,109.0,110.0,110.0,109.0,2,10950.0,0.0,0.0,104.0
843,HK.HSI220107C23400,2022-01-04 17:40:00,111.0,111.0,111.0,111.0,3,16650.0,0.0,0.0,110.0
844,HK.HSI220107C23400,2022-01-04 17:45:00,111.0,111.0,111.0,111.0,0,0.0,0.0,0.0,111.0
845,HK.HSI220107C23400,2022-01-04 17:50:00,113.0,115.0,115.0,113.0,2,11400.0,0.0,0.0,111.0
846,HK.HSI220107C23400,2022-01-04 17:55:00,115.0,115.0,115.0,115.0,0,0.0,0.0,0.0,115.0
847,HK.HSI220107C23400,2022-01-04 18:00:00,117.0,117.0,117.0,117.0,1,5850.0,0.0,0.0,115.0
848,HK.HSI220107C23400,2022-01-04 18:05:00,117.0,117.0,117.0,117.0,0,0.0,0.0,0.0,117.0
849,HK.HSI220107C23400,2022-01-04 18:10:00,117.0,117.0,117.0,117.0,0,0.0,0.0,0.0,117.0
850,HK.HSI220107C23400,2022-01-04 18:15:00,117.0,117.0,117.0,117.0,0,0.0,0.0,0.0,117.0
851,HK.HSI220107C23400,2022-01-04 18:20:00,117.0,117.0,117.0,117.0,0,0.0,0.0,0.0,117.0
852,HK.HSI220107C23400,2022-01-04 18:25:00,116.0,116.0,116.0,116.0,1,5800.0,0.0,0.0,117.0
853,HK.HSI220107C23400,2022-01-04 18:30:00,117.0,118.0,118.0,117.0,2,11750.0,0.0,0.0,116.0
854,HK.HSI220107C23400,2022-01-04 18:35:00,118.0,118.0,118.0,118.0,0,0.0,0.0,0.0,118.0
855,HK.HSI220107C23400,2022-01-04 18:40:00,120.0,120.0,120.0,120.0,1,6000.0,0.0,0.0,118.0
856,HK.HSI220107C23400,2022-01-04 18:45:00,123.0,123.0,123.0,123.0,1,6150.0,0.0,0.0,120.0
857,HK.HSI220107C23400,2022-01-04 18:50:00,128.0,128.0,128.0,128.0,2,12800.0,0.0,0.0,123.0
858,HK.HSI220107C23400,2022-01-04 18:55:00,128.0,128.0,128.0,128.0,0,0.0,0.0,0.0,128.0
859,HK.HSI220107C23400,2022-01-04 19:00:00,128.0,128.0,128.0,128.0,0,0.0,0.0,0.0,128.0
860,HK.HSI220107C23400,2022-01-04 19:05:00,118.0,118.0,118.0,118.0,2,11800.0,0.0,0.0,128.0
